Year,Category,Amount
2004,Assets,214.26000000000002
2004,Borrowings,588.81
2004,Equity,94.16
2004,Liabilities,17.58
2004,Other,100.61999999999999
2005,Assets,2335.2400000000002
2005,Borrowings,1086.4
2005,Equity,6964.1900000000005
2005,Liabilities,1210.97
2005,Other,245.79
2006,Assets,3685.51
2006,Borrowings,1525.3200000000002
2006,Equity,12006.73
2006,Liabilities,1595.04
2006,Other,954.32
2007,Assets,5694.38
2007,Borrowings,2597.33
2007,Equity,17758.239999999998
2007,Liabilities,2353.27
2007,Other,1046.4399999999998
2008,Assets,6601.469999999999
2008,Borrowings,3841.62
2008,Equity,24558.28
2008,Liabilities,3174.55
2008,Other,1162.03
2009,Assets,8721.02
2009,Borrowings,5329.19
2009,Equity,31358.059999999998
2009,Liabilities,3840.9399999999996
2009,Other,1019.2500000000001
2010,Assets,10574.0
2010,Borrowings,5300.34
2010,Equity,36989.34
2010,Liabilities,7277.799999999999
2010,Other,1396.8700000000001
2011,Assets,12895.82
2011,Borrowings,4989.35
2011,Equity,49065.52
2011,Liabilities,5430.49
2011,Other,1674.88
2012,Assets,17333.43
2012,Borrowings,6825.08
2012,Equity,59214.35999999999
2012,Liabilities,8195.57
2012,Other,2022.9099999999999
2013,Assets,20845.72
2013,Borrowings,11266.49
2013,Equity,77347.36
2013,Liabilities,9030.19
2013,Other,2611.8199999999997
2014,Assets,32672.24
2014,Borrowings,11851.77
2014,Equity,98545.42
2014,Liabilities,12307.57
2014,Other,3891.68
2015,Assets,38993.979999999996
2015,Borrowings,13601.2
2015,Equity,101425.42
2015,Liabilities,16783.96
2015,Other,3910.2000000000003
2016,Assets,30861.0
2016,Borrowings,5411.0
2016,Equity,142299.9
2016,Liabilities,7696.0
2016,Other,2041.0
2017,Assets,26766.0
2017,Borrowings,3189.0
2017,Equity,172583.9
2017,Liabilities,5010.0
2017,Other,1928.0
2018,Assets,32104.0
2018,Borrowings,5415.0
2018,Equity,170407.15
2018,Liabilities,5360.0
2018,Other,1706.0
2019,Assets,40194.0
2019,Borrowings,8133.0
2019,Equity,179234.58
2019,Liabilities,6531.0
2019,Other,1426.0
2020,Assets,40198.0
2020,Borrowings,8504.0
2020,Equity,168594.58
2020,Liabilities,7033.0
2020,Other,1534.0
2021,Assets,39408.0
2021,Borrowings,11501.0
2021,Equity,173204.01
2021,Liabilities,9254.0
2021,Other,1609.0
2022,Assets,52295.0
2022,Borrowings,6756.0
2022,Equity,178612.35
2022,Liabilities,9456.0
2022,Other,1932.0
2023,Assets,60986.0
2023,Borrowings,1498.0
2023,Equity,181182.35
2023,Liabilities,10860.0
2023,Other,2044.0
2024,Assets,66863.0
2024,Borrowings,493.0
2024,Equity,181308.69
2024,Liabilities,10121.0
2024,Other,2422.0
2025,Assets,74509.0
2025,Borrowings,34.0
2025,Equity,189842.69
2025,Liabilities,14089.0
2025,Other,2582.0
2026,Assets,80622.0
2026,Borrowings,2434.0
2026,Equity,214810.69
2026,Liabilities,16186.0
2026,Other,3932.0
