Indicator,Year,Amount,Category
Equity Share Capital,2026,362.0,Equity
Total Share Capital,2026,362.0,Equity
Reserves and Surplus,2026,106878.0,Equity
Total Reserves and Surplus,2026,106878.0,Equity
Minority Interest,2026,1238.0,Other
Long Term Borrowings,2026,0.0,Borrowings
Long Term Provisions,2026,0.0,Liabilities
Short Term Borrowings,2026,0.0,Borrowings
Trade Payables,2026,14808.0,Liabilities
Short Term Provisions,2026,1378.0,Liabilities
Capital Work-In-Progress,2026,2665.0,Other
Long Term Loans And Advances,2026,775.0,Borrowings
Inventories,2026,29.0,Other
Trade Receivables,2026,67714.0,Assets
Cash And Cash Equivalents,2026,12908.0,Assets
Short Term Loans And Advances,2026,1659.0,Borrowings
Bonus Equity Share Capital,2026,330.69,Equity
Equity Share Capital,2025,362.0,Equity
Total Share Capital,2025,362.0,Equity
Reserves and Surplus,2025,94394.0,Equity
Total Reserves and Surplus,2025,94394.0,Equity
Minority Interest,2025,1015.0,Other
Long Term Borrowings,2025,0.0,Borrowings
Long Term Provisions,2025,0.0,Liabilities
Short Term Borrowings,2025,0.0,Borrowings
Trade Payables,2025,13909.0,Liabilities
Short Term Provisions,2025,180.0,Liabilities
Capital Work-In-Progress,2025,1546.0,Other
Long Term Loans And Advances,2025,25.0,Borrowings
Inventories,2025,21.0,Other
Trade Receivables,2025,59046.0,Assets
Cash And Cash Equivalents,2025,15463.0,Assets
Short Term Loans And Advances,2025,9.0,Borrowings
Bonus Equity Share Capital,2025,330.69,Equity
Equity Share Capital,2024,362.0,Equity
Total Share Capital,2024,362.0,Equity
Reserves and Surplus,2024,90127.0,Equity
Total Reserves and Surplus,2024,90127.0,Equity
Minority Interest,2024,830.0,Other
Long Term Borrowings,2024,0.0,Borrowings
Long Term Provisions,2024,0.0,Liabilities
Short Term Borrowings,2024,0.0,Borrowings
Trade Payables,2024,9981.0,Liabilities
Short Term Provisions,2024,140.0,Liabilities
Capital Work-In-Progress,2024,1564.0,Other
Long Term Loans And Advances,2024,2.0,Borrowings
Inventories,2024,28.0,Other
Trade Receivables,2024,53577.0,Assets
Cash And Cash Equivalents,2024,13286.0,Assets
Short Term Loans And Advances,2024,491.0,Borrowings
Bonus Equity Share Capital,2024,330.69,Equity
Equity Share Capital,2023,366.0,Equity
Total Share Capital,2023,366.0,Equity
Reserves and Surplus,2023,90058.0,Equity
Total Reserves and Surplus,2023,90058.0,Equity
Minority Interest,2023,782.0,Other
Long Term Borrowings,2023,0.0,Borrowings
Long Term Provisions,2023,0.0,Liabilities
Short Term Borrowings,2023,0.0,Borrowings
Trade Payables,2023,10515.0,Liabilities
Short Term Provisions,2023,345.0,Liabilities
Capital Work-In-Progress,2023,1234.0,Other
Long Term Loans And Advances,2023,173.0,Borrowings
Inventories,2023,28.0,Other
Trade Receivables,2023,49954.0,Assets
Cash And Cash Equivalents,2023,11032.0,Assets
Short Term Loans And Advances,2023,1325.0,Borrowings
Bonus Equity Share Capital,2023,334.35,Equity
Equity Share Capital,2022,366.0,Equity
Total Share Capital,2022,366.0,Equity
Reserves and Surplus,2022,88773.0,Equity
Total Reserves and Surplus,2022,88773.0,Equity
Minority Interest,2022,707.0,Other
Long Term Borrowings,2022,0.0,Borrowings
Long Term Provisions,2022,0.0,Liabilities
Short Term Borrowings,2022,0.0,Borrowings
Trade Payables,2022,8045.0,Liabilities
Short Term Provisions,2022,1411.0,Liabilities
Capital Work-In-Progress,2022,1205.0,Other
Long Term Loans And Advances,2022,311.0,Borrowings
Inventories,2022,20.0,Other
