Year,Assets,Borrowings,Equity,Liabilities,Other,Financial Health Score
2004,214.26000000000002,588.81,94.16,17.58,100.61999999999999,39.545
2005,2335.2400000000002,1086.4,6964.1900000000005,1210.97,245.79,3135.4140000000007
2006,3685.51,1525.3200000000002,12006.73,1595.04,954.32,5436.805
2007,5694.38,2597.33,17758.239999999998,2353.27,1046.4399999999998,8081.222999999998
2008,6601.469999999999,3841.62,24558.28,3174.55,1162.03,10784.681
2009,8721.02,5329.19,31358.059999999998,3840.9399999999996,1019.2500000000001,13858.423
2010,10574.0,5300.34,36989.34,7277.799999999999,1396.8700000000001,15982.341999999997
2011,12895.82,4989.35,49065.52,5430.49,1674.88,21909.921
2012,17333.43,6825.08,59214.35999999999,8195.57,2022.9099999999999,26564.150999999994
2013,20845.72,11266.49,77347.36,9030.19,2611.8199999999997,34259.973000000005
2014,32672.24,11851.77,98545.42,12307.57,3891.68,45573.149
2015,38993.979999999996,13601.2,101425.42,16783.96,3910.2000000000003,47551.45
2016,30861.0,5411.0,142299.9,7696.0,2041.0,64097.96
2017,26766.0,3189.0,172583.9,5010.0,1928.0,75742.46
2018,32104.0,5415.0,170407.15,5360.0,1706.0,76180.56
2019,40194.0,8133.0,179234.58,6531.0,1426.0,81632.53199999999
2020,40198.0,8504.0,168594.58,7033.0,1534.0,77240.23199999999
2021,39408.0,11501.0,173204.01,9254.0,1609.0,78103.10399999999
2022,52295.0,6756.0,178612.35,9456.0,1932.0,84566.64
2023,60986.0,1498.0,181182.35,10860.0,2044.0,88446.94
2024,66863.0,493.0,181308.69,10121.0,2422.0,90508.876
2025,74509.0,34.0,189842.69,14089.0,2582.0,95468.576
2026,80622.0,2434.0,214810.69,16186.0,3932.0,106630.27600000003
